contrato,fecha,hora,folio,movimiento,emisora,monto,estatus
205684,02/10/20,12:11:27,14971826,DEPOSITO DE EFECTIVO,Efec *,1350000.00,
205684,06/10/20,12:20:00,15068847,RETIRO DE EFECTIVO,Efec *,-55000.00,Liquidada
205684,15/10/20,10:45:00,15359568,RETIRO DE EFECTIVO,Efec *,-100000.00,Liquidada
205684,20/10/20,9:57:30,15504572,DEPOSITO DE EFECTIVO,Efec *,200000.00,
205684,21/10/20,2:47:27,15565549,DEPOSITO DE EFECTIVO,Efec *,150000.00,
205684,23/10/20,12:40:00,15638695,RETIRO DE EFECTIVO,Efec *,-53300.00,Liquidada
205684,28/10/20,8:30:00,15773484,RETIRO DE EFECTIVO,Efec *,-60000.00,Liquidada
205684,28/10/20,8:30:00,15773485,RETIRO DE EFECTIVO,Efec *,-18000.00,Liquidada
205684,30/10/20,11:40:00,15893543,RETIRO DE EFECTIVO,Efec *,-30000.00,Liquidada
205684,30/10/20,12:40:00,15894720,RETIRO DE EFECTIVO,Efec *,-230000.00,Liquidada
205684,05/11/20,12:00:00,16102525,ISR 10 % POR DIVIDENDOS SIC,SHV *,4.62,
205684,05/11/20,6:21:49,16102523,ABONO DIVIDENDO EMISORA EXTRANJERA,SHV *,46.18,
205684,06/11/20,11:00:00,16142673,RETIRO DE EFECTIVO,Efec *,-26300.00,Liquidada
205684,10/11/20,10:15:00,16291169,RETIRO DE EFECTIVO,Efec *,-25000.00,Liquidada
205684,11/11/20,12:00:00,16412522,ISR 10 % POR DIVIDENDOS SIC,AAPL *,12.36,
205684,11/11/20,4:05:26,16412520,ABONO DIVIDENDO EMISORA EXTRANJERA,AAPL *,123.62,
205684,12/11/20,1:00:00,16452498,RETIRO DE EFECTIVO,Efec *,-270000.00,Liquidada
205684,17/11/20,12:55:00,16611525,RETIRO DE EFECTIVO,Efec *,-90000.00,Liquidada
205684,17/11/20,1:39:16,16612462,DEPOSITO DE EFECTIVO,Efec *,2118.45,
205684,20/11/20,9:50:00,16713924,RETIRO DE EFECTIVO,Efec *,-10000.00,Liquidada
205684,23/11/20,9:45:02,16837613,RETIRO DE EFECTIVO,Efec *,-16000.00,Liquidada
205684,27/11/20,12:41:40,17009011,DEPOSITO DE EFECTIVO,Efec *,130000.00,
205684,30/11/20,6:02:02,17019604,DEPOSITO DE EFECTIVO,Efec *,2000.00,
205684,30/11/20,11:45:00,17100409,RETIRO DE EFECTIVO,Efec *,-490000.00,Liquidada
205684,01/12/20,12:00:00,17139051,ISR CEDULAR POR DIVIDENDOS,KIMBER A,109.00,
205684,01/12/20,6:50:41,1330039,"Abono Efectivo Dividendo, Cust. Normal",KIMBER A,1090.00,
205684,11/12/20,12:00:00,17640911,ISR 10 % POR DIVIDENDOS SIC,MSFT *,2.37,
205684,11/12/20,8:28:47,17640909,ABONO DIVIDENDO EMISORA EXTRANJERA,MSFT *,23.69,
205684,15/12/20,10:09:57,17808545,RETIRO DE EFECTIVO,Efec *,-40000.00,Liquidada
205684,17/12/20,11:05:00,17992516,RETIRO DE EFECTIVO,Efec *,-12000.00,Liquidada
205684,18/12/20,12:00:00,18024817,ISR CEDULAR POR DIVIDENDOS,AC *,47.70,
205684,18/12/20,6:50:14,1367853,"Abono Efectivo Dividendo, Cust. Normal",AC *,477.00,
205684,21/12/20,11:25:00,18175643,RETIRO DE EFECTIVO,Efec *,-50000.00,Liquidada
205684,22/12/20,12:46:28,18249793,DEPOSITO DE EFECTIVO,Efec *,250000.00,
205684,23/12/20,10:10:09,18268963,DEPOSITO DE EFECTIVO,Efec *,235000.00,
205684,28/12/20,12:00:00,18568729,ISR 10 % POR DIVIDENDOS SIC,NVDA *,3.15,
205684,28/12/20,8:15:45,18468600,DEPOSITO DE EFECTIVO,Efec *,95000.00,
205684,28/12/20,4:14:15,18568727,ABONO DIVIDENDO EMISORA EXTRANJERA,NVDA *,31.46,
205684,31/12/20,11:30:01,18816727,RETIRO DE EFECTIVO,Efec *,-35000.00,Liquidada